Record Type	Property	Name Type	Query Type	Search Tag Name	Used For	Semantic?	Force Range Index?	Explanation	JSON Path(s)	Predicate
concept	Any	Text	keyword	conceptAnyText		Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]//content	
concept	DataType	Name	keyword	conceptDataTypeName	Search	Non	Y		/indexedProperties[dataType = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/dataType	
concept		Name	keyword	conceptName	Search	Non	Y		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/identified_by[./type='Name']/content	
concept	Primary	Name	keyword	conceptPrimaryName	Search	Non	Y		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
concept		Identifier	string	conceptIdentifier	Search	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/identified_by[./type='Identifier']/content ,  /json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/equivalent/id	
concept	Type	Id 	uri	conceptTypeId 	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/classified_as/id	
concept	Type	Name	keyword	conceptTypeName	Search	Semantic	N			lux:conceptClassifiedAs
concept	PartOf	Id	uri	conceptPartOfId	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/broader/id	
concept	PartOf	Name	keyword	conceptPartOfName	Search	Semantic	N			skos:broader
concept	InfluencedByAgent	Id	uri	conceptInfluencedByAgentId	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/created_by/influenced_by[type = ('Person', 'Group')]/id	
concept	InfluencedByConcept	Id	uri	conceptInfluencedByConceptId	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/created_by/influenced_by[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/id	
concept	InfluencedByEvent	Id	uri	conceptInfluencedByEventId	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/created_by/influenced_by[type = ('Activity', 'Period')]/id	
concept	InfluencedByPlace	Id	uri	conceptInfluencedByPlaceId	RecordLink	Non	N		/json[type = ('Type', 'MeasurementUnit', 'Language', 'Currency', 'Material')]/created_by/influenced_by[type = ('Place')]/id	
language		Identifier	string	languageIdentifier	Search	Non	N		/json[type='Language']/identified_by[./type='Identifier']/content	
										
event	Any	Text	keyword	eventAnyText			N		/json[type= ('Activity', 'Period')]//content	
event	DataType	Name	keyword	eventDataTypeName	Search	Non	Y		/indexedProperties[dataType = ('Activity', 'Period')]/dataType	
event		Name	keyword	eventName	Search	Non	Y		/json[type= ('Activity', 'Period')]/identified_by[./type='Name']/content	
event	Primary	Name	keyword	eventPrimaryName	Search	Non	Y		/json[type= ('Activity', 'Period')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
event		Identifier	string	eventIdentifier	Search	Non	N		/json[type= ('Activity', 'Period')]/identified_by[./type='Identifier']/content , /json[type= ('Activity', 'Period')]/equivalent/id	
event	Type	Id 	uri	eventTypeId 	RecordLink	Non	N		/json[type= ('Activity', 'Period')]/classified_as/id	
event	Type	Name	keyword	eventTypeName	Search	Semantic	N			lux:eventClassifiedAs
event	InitiatedStart	Date	datesAsString	eventInitiatedStartDateStr	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/begin_of_the_begin	
event	InitiatedStart	Date	datesAsLong	eventInitiatedStartDateLong	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/_seconds_since_epoch_begin_of_the_begin	
event	InitiatedEnd	Date	datesAsLong	eventInitiatedEndDateLong	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/_seconds_since_epoch_end_of_the_begin	
event	CompletedStart	Date	datesAsString	eventCompletedStartDateStr	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/begin_of_the_end	
event	CompletedStart	Date	datesAsLong	eventCompletedStartDateLong	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/_seconds_since_epoch_begin_of_the_end	
event	CompletedEnd	Date	datesAsLong	eventCompletedEndDateLong	Search	Non	N		/json[type= ('Activity', 'Period')]/timespan/_seconds_since_epoch_end_of_the_end	
event	Agent	Id	uri	eventAgentId	RecordLink	Non	N		/json[type= ('Activity', 'Period')]/carried_out_by/id	
event	Agent	Name	keyword	eventAgentName	Search	Semantic	N			lux:eventCarriedOutBy
event	Place	Id	uri	eventPlaceId	RecordLink	Non	N		/json[type= ('Activity', 'Period')]/took_place_at/id	
event	Place	Name	keyword	eventPlaceName	Search	Semantic	N			lux:eventTookPlaceAt
event	UsedItem	Name	keyword	eventUsedItemName	Search	Semantic	N			
event	UsedSet	Id	uri	eventUsedSetId	RecordLink	Non	N		/json[type= ('Activity', 'Period')]/used_specific_object/id	
										
								Multi-hop searches, likely to be too expensive to perform		
